Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
-1,1518,918,1402,1884,2898,3291,2860,1672,235,-2342,2282,1727,2422,2009,413,4,1118,1698,2322,3341,3961,3476,2012,282,-2819,1090,1626,2153,3200,4016,3408,2040,286,-2858,8848,41074,6676
76,1601,591,840,1044,2009,2468,1884,1254,176,-1756,2371,1335,3701,1875,1826,7,871,1179,1544,2159,3473,2938,1764,248,-2472,767,1129,1380,2701,3283,2361,1668,234,-2337,9571,40585,6266
101,1582,705,1022,1310,2298,2773,2199,1409,198,-1974,2352,1268,3823,1795,2029,2,912,1226,1589,2240,3478,3071,1767,248,-2475,720,1079,1399,2635,3273,2542,1663,233,-2329,9369,40994,6266
239,1599,783,1149,1486,2471,2896,2398,1471,206,-2061,2372,1349,3158,1752,1406,2,961,1326,1762,2460,3364,3015,1709,240,-2394,846,1250,1558,2708,3320,2611,1687,237,-2363,9464,40599,6266
34,1539,703,1085,1488,2684,3253,2818,1653,232,-2315,2304,1541,3228,1949,1279,3,930,1372,1989,2924,3825,3358,1943,273,-2722,884,1324,1820,3013,3804,3186,1932,271,-2707,9242,41024,6266
270,1659,621,1022,1239,2540,2568,1941,1305,183,-1828,2402,1613,3689,2002,1687,5,904,1317,1817,2557,3224,2774,1638,230,-2295,824,1223,1655,2401,2973,2454,1510,212,-2116,11695,40831,6266
330,1802,760,1309,1863,2726,3678,3136,1868,262,-2618,2682,1682,2293,1916,377,9,1040,1713,2501,3571,4899,4233,2489,349,-3487,978,1589,2341,3452,4655,3888,2365,332,-3313,5123,40505,6151
-1,1455,1129,1820,2659,3420,4173,3711,2120,298,-2970,2237,1109,2097,1337,761,0,1155,1827,2723,3532,4386,3851,2228,313,-3122,1154,1829,2725,3573,4431,3838,2251,316,-3154,4489,41921,6281
-1,1720,987,1510,1968,2559,3706,3236,1883,264,-2638,2541,1077,1825,1385,440,2,1185,1842,2444,3190,4308,3802,2188,307,-3066,1111,1710,2292,2980,4120,3559,2093,294,-2932,5010,40586,6281
-1,1877,979,1495,1986,2806,3604,3133,1831,257,-2565,2690,1402,2253,1662,591,3,1039,1568,2096,2827,3845,3357,1953,274,-2736,1029,1627,2202,3032,3979,3361,2021,284,-2832,5625,40063,6281
-1,1787,802,1186,1557,2265,3064,2598,1557,218,-2181,2593,1151,2660,1565,1095,2,961,1447,1884,2561,3558,3036,1807,254,-2532,901,1364,1783,2568,3515,2910,1786,251,-2502,5324,40424,6281
0,1885,878,1404,1910,2600,3319,2854,1686,237,-2362,2710,1351,2057,1563,494,2,1025,1620,2197,2961,3806,3360,1933,271,-2709,1014,1594,2212,2886,3863,3336,1962,275,-2749,5235,39937,6281
169,1879,917,1506,1988,2894,3749,3308,1904,267,-2668,2719,1308,2012,1607,405,2,1163,1822,2450,3386,4368,3910,2219,311,-3109,1076,1743,2360,3307,4230,3682,2149,302,-3010,5497,40112,6281
-1,1794,890,1325,1840,2506,3302,2979,1677,235,-2350,2624,1209,1836,1467,369,2,1110,1665,2345,3144,3989,3626,2026,284,-2839,1040,1579,2248,3009,3872,3416,1967,276,-2756,5223,40543,6281
-1,1799,941,1420,1971,2609,3376,3010,1715,241,-2403,2628,1148,1739,1372,367,2,1121,1683,2363,3125,3958,3530,2011,282,-2817,1053,1604,2261,3015,3911,3393,1987,279,-2783,5256,40498,6281
-1,1792,904,1385,1982,2704,3424,3051,1739,244,-2437,2622,1163,1844,1413,431,1,1131,1725,2455,3261,4059,3675,2062,289,-2889,1104,1684,2423,3225,4060,3583,2062,289,-2890,5238,40522,6281
14,1646,677,976,1172,1548,1711,1466,869,122,-1218,2448,726,2616,1116,1500,3,763,1005,1197,1494,1791,1490,910,128,-1275,771,1017,1234,1520,1804,1505,916,129,-1284,6814,40844,6281
90,1666,981,1441,1973,2828,3685,3119,1872,263,-2623,2536,1273,2320,1673,647,2,1151,1675,2298,3183,4151,3534,2109,296,-2954,1131,1683,2318,3163,4143,3554,2105,295,-2949,7904,40815,6281
-1,2161,700,979,1207,2259,2684,2072,1363,191,-1910,2860,1445,4552,2206,2346,0,1105,1495,1866,2676,3525,2833,1791,251,-2509,1055,1418,1761,2433,3506,2871,1781,250,-2495,9669,38763,6281
68,2231,586,868,1075,2141,2085,1558,1059,149,-1484,2936,1331,4201,1685,2516,8,932,1279,1658,2257,2774,2301,1409,198,-1974,856,1182,1526,2134,2623,2187,1332,187,-1867,11443,38392,6281
