Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
281,1870,826,1244,1514,2164,2952,2259,1500,210,-2101,3066,970,1544,1191,353,36,1022,1634,1896,2683,3562,3049,1809,254,-2535,1058,1698,2019,2694,3759,3062,1910,268,-2675,8741,37056,6286
167,2374,870,1339,1707,3140,3766,2743,1913,269,-2680,3511,1033,3795,2819,976,29,786,1153,1452,2876,3375,2588,1715,241,-2402,830,1216,1596,2908,3543,2662,1800,253,-2522,8673,35501,6153
34,2121,1422,2175,2714,3312,4725,4091,2400,337,-3363,3293,707,1089,889,200,3,1275,2164,2746,3556,5065,4044,2573,361,-3605,1329,2127,2681,3612,5148,3977,2615,367,-3664,7438,36271,6290
135,2122,1388,2042,2487,3296,4474,3662,2273,319,-3184,3298,948,3545,1995,1550,1,1479,2243,2680,3586,4483,3913,2277,320,-3191,1409,2124,2642,3560,4114,3806,2090,293,-2928,7343,36257,6291
239,2104,879,1296,1617,2290,3299,2761,1676,235,-2348,3281,1276,2086,1668,418,2,1021,1570,1974,2932,3908,3256,1985,279,-2781,1062,1627,2078,2962,4007,3245,2036,286,-2852,7102,36455,6290
0,2103,1211,1880,2387,3265,4104,3409,2085,293,-2921,3282,1105,2437,1666,771,0,1199,1957,2481,3375,4196,3553,2132,299,-2986,1202,1952,2470,3442,4188,3423,2128,299,-2981,7217,36453,6291
169,2056,1281,1964,2420,3244,4224,3566,2146,301,-3006,3234,987,1742,1428,314,2,1281,2077,2625,3534,4546,3729,2309,324,-3235,1281,2088,2672,3505,4543,3485,2308,324,-3233,7306,36497,6290
304,2057,1359,2084,2514,3278,4259,3566,2164,304,-3031,3235,974,1715,1338,377,3,1283,2081,2564,3426,4402,3707,2236,314,-3133,1291,2073,2531,3455,4093,3538,2079,292,-2913,7272,36510,6290
187,1958,1274,1863,2322,3251,4358,3576,2214,311,-3102,3130,1043,2727,1522,1205,7,1252,1898,2361,3216,4397,3822,2234,314,-3129,1297,1932,2352,3262,4349,3546,2209,310,-3095,7129,36688,6290
342,1956,1228,1810,2208,2933,3968,3232,2016,283,-2824,3136,1038,2367,1678,689,5,1441,2056,2453,3345,4434,3722,2252,316,-3156,1371,2042,2452,3300,4274,3564,2171,305,-3042,7023,36792,6290
303,2017,1110,1715,2043,2685,3546,2874,1801,253,-2524,3210,924,1823,1332,491,31,1087,1768,2098,2818,3681,3069,1870,262,-2620,1129,1826,2227,2847,3807,3071,1934,271,-2709,7127,36597,6290
49,2025,874,1322,1690,2469,3006,2172,1527,214,-2139,3189,1019,3628,1951,1677,73,1150,1742,2079,2882,3827,3025,1944,273,-2724,1184,1814,2192,2952,3877,3044,1970,276,-2759,7127,36597,6290
59,1996,833,1287,1610,2583,2798,2112,1421,199,-1991,3156,1085,2991,1848,1143,60,1158,1762,2131,3009,4018,3363,2041,286,-2860,1183,1829,2221,3071,4061,3293,2063,290,-2890,7064,36725,6290
240,1965,871,1334,1612,2749,3106,2276,1578,221,-2211,3148,1172,2980,1947,1033,7,1167,1784,2191,3073,4140,3587,2103,295,-2946,1193,1832,2284,3124,4067,3450,2066,290,-2894,7042,36731,6290
255,1962,1029,1537,1865,2816,3449,2746,1752,246,-2455,3140,1165,2537,1950,587,8,1180,1823,2204,3037,3945,3297,2004,281,-2808,1216,1863,2311,3086,4010,3271,2037,286,-2854,7034,36754,6290
297,1957,869,1326,1622,2788,3183,2376,1617,227,-2265,3138,1075,3879,2124,1755,7,1173,1782,2217,3072,4200,3660,2134,299,-2989,1221,1868,2304,3150,4158,3451,2112,296,-2959,7071,36720,6290
207,1939,1236,1889,2332,3214,4117,3507,2091,294,-2930,3118,1253,2926,1786,1140,2,1100,1682,2181,3188,4022,3459,2043,287,-2862,1128,1760,2310,3260,4026,3437,2045,287,-2865,8772,36775,6290
180,1941,1293,1801,2240,3311,4148,3441,2107,296,-2952,3119,1243,2884,1922,962,2,1164,1721,2169,3309,3908,3353,1985,279,-2781,1200,1796,2288,3283,3965,3285,2014,283,-2822,8770,36771,6290
90,1931,532,733,804,1467,2017,1600,1025,144,-1435,3108,1951,3496,2588,909,8,669,970,1087,2136,2533,1927,1287,181,-1803,665,994,1157,2125,2601,1911,1321,185,-1851,6965,36726,6286
0,1928,662,970,1136,1816,2428,1892,1233,173,-1728,3108,1779,3331,2480,851,0,688,1019,1127,2211,2708,2012,1376,193,-1927,704,1055,1204,2206,2828,2060,1437,202,-2013,6934,36747,6286
315,1903,1383,1939,2334,3022,3901,3541,1982,278,-2776,3068,1077,1589,1332,257,1,1224,1758,2159,3037,3603,3232,1830,257,-2564,1235,1839,2288,3045,3755,3226,1908,268,-2672,7284,37000,6290
0,1904,1405,1978,2380,3060,3591,3146,1824,256,-2556,3060,922,1799,1290,509,2,1305,1884,2324,3072,3398,3026,1726,242,-2418,1333,1900,2375,3150,3558,2994,1807,254,-2532,7270,37024,6290
153,1789,821,1174,1448,2445,3039,2515,1544,217,-2163,2951,1475,3077,2108,969,2,1038,1462,1869,2855,3445,3052,1750,246,-2452,1081,1532,1987,2859,3621,3028,1839,258,-2577,6212,37378,6286
186,1843,781,1099,1382,2210,2868,2418,1457,204,-2041,3005,1476,2752,1986,766,4,915,1318,1700,2689,3338,3000,1696,238,-2376,960,1372,1823,2687,3528,2985,1792,252,-2511,6280,37274,6286
32,2623,459,850,1111,1770,2315,1703,1176,165,-1648,3801,1972,3196,2373,823,23,834,1239,1468,2534,3222,2579,1637,230,-2293,889,1291,1631,2502,3418,2678,1736,244,-2433,9371,34717,6285
162,1698,871,1293,1692,2480,3356,2883,1705,239,-2388,2868,1486,3454,2178,1276,1,1010,1401,1746,2700,3570,3224,1814,255,-2541,806,1235,1691,2729,3482,2677,1769,248,-2478,5454,37905,6291
